"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Vientos, Mark","668901","2024",29.7,7.3,".266","0.250","91.2","11.4",46.6,34.4,49.9,36,20.8,44.2,24.4
"Lewis, Royce","668904","2024",22.8,8.6,".233","0.219","87.1","16.8",37.7,27,51.9,46.6,19.3,36.8,30.5
"Turang, Brice","668930","2024",17,8.1,".254","0.095","87","6.1",29.7,13.8,47.7,24,34.2,53.7,17.7
"Rutschman, Adley","668939","2024",16.1,9.1,".250","0.141","88.2","18.8",36.6,17.1,44.5,41.5,23.6,34.9,32
"Rojas, Josh","668942","2024",22.7,9.7,".225","0.111","88.2","15.5",38.2,24.4,45.6,38.2,24.3,40.4,29
"Melendez Jr., MJ","669004","2024",25.1,7.8,".206","0.194","91.1","14.6",45.2,29.5,52.5,44.1,22.4,41.8,28.8
"Marsh, Brandon","669016","2024",32.4,10.5,".249","0.170","91.6","13.8",47.4,27.5,41.3,37.4,30,39.3,28.5
"Langeliers, Shea","669127","2024",27.2,7.7,".224","0.226","91.3","16.3",44,29.2,49.5,45.2,16,37.6,30
"Campusano, Luis","669134","2024",13.7,6.7,".227","0.134","87.7","9.9",34.2,20.5,50.9,38.4,19,45.1,24.9
"Murphy, Sean","669221","2024",25.4,10.2,".193","0.159","88","10.5",36.5,28.4,45.6,50.9,18.6,53.3,25.7
"Senzel, Nick","669222","2024",22.8,10.5,".195","0.136","84","15.5",26.7,23.9,47.1,35.2,25,42,24.4
"Wells, Austin","669224","2024",21,11.4,".229","0.166","88.4","17.1",38.9,27.3,49.3,37.8,28.7,37.5,29.1
"Smith, Will","669257","2024",19.3,9.4,".248","0.185","89.4","18.7",42,20.9,46.2,31.9,26.4,33,40.4
"Suwinski, Jack","669261","2024",28.5,9.7,".182","0.142","88.9","12.9",38.2,27.4,46.5,43.5,23.5,46.5,22.9
"Espinal, Santiago","669289","2024",13.8,6.1,".246","0.110","85.9","15",24.1,14.8,49,37,32.5,39.5,25.1
"Miranda, Jose","669304","2024",15.4,4.2,".284","0.157","88.9","15.5",38.9,22.5,52.3,40.1,20.9,38.6,26.3
"Gorman, Nolan","669357","2024",37.6,8.5,".203","0.197","88.5","20.3",38.6,38.7,51,40.3,17.1,31.9,38.9
"Edwards, Xavier","669364","2024",17.2,10.9,".328","0.095","86.1","6.7",24.3,16.9,47.5,24.8,29.8,52.3,19.3
"Burger, Jake","669394","2024",25.9,5.4,".250","0.210","91.3","13",46.8,30.1,52.4,42.4,20.6,44,28.3
"Smith, Josh","669701","2024",20.4,7.8,".258","0.136","87.8","15.4",37.1,21.8,47.1,43.7,20.4,39.6,29
"Triolo, Jared","669707","2024",26.5,9.4,".216","0.099","88.4","13.4",39.1,27.4,47.7,37.4,26,41.3,26
"Hays, Austin","669720","2024",23.1,3.5,".255","0.141","88.9","14.9",40.2,29.1,54.4,44.7,20.1,39.7,25.7
"Toglia, Michael","669911","2024",32.1,11.8,".218","0.238","92.1","15.1",50.2,34.9,45.1,41.6,21.2,35.3,36.1
"Lopez, Nicky","670032","2024",15.1,8.3,".241","0.053","85","5.6",16.9,19.4,48.5,29.7,30.9,56.7,19.3
"Raley, Luke","670042","2024",29.7,5.9,".243","0.220","90.1","13.5",41.8,34.5,51.8,44,21.2,47.3,24.5
"Wallner, Matt","670242","2024",36.4,9.2,".259","0.264","92.8","21.6",53.2,38.4,47.8,49.2,15.9,31,34.1
"Alvarez, Yordan","670541","2024",15,10.9,".308","0.259","93.1","18.3",49.7,19.9,47.8,36.4,25.2,33.4,36.2
"Paredes, Isaac","670623","2024",16.4,11.9,".238","0.155","85","22.4",27.1,17.2,44.7,51.9,18.7,30.9,29.3
"Walls, Taylor","670764","2024",26.6,12.3,".183","0.065","86.1","18.2",24,25,45.1,40.3,23.4,37,29.9
"Friedl Jr., TJ","670770","2024",15.2,7.6,".226","0.154","86","16.7",31.5,17.9,43.4,47.4,19.9,38.2,27.9
"Herrera, Iván","671056","2024",20.5,9.7,".301","0.127","89.3","9.2",42.1,24.8,43.6,34.8,26.4,43.8,21.3
"Ramos, Heliot","671218","2024",26.1,7.1,".269","0.200","91.5","10.4",47.5,28.7,50.3,30.2,28.8,43.3,27
"García, Luis","671277","2024",16.3,5.1,".282","0.162","89.1","8.2",41.7,21.3,51.7,26.3,27.5,48.4,25.1
"Freeman, Tyler","671289","2024",13.8,7.3,".209","0.112","87.7","13",34.6,16.4,46.9,39.9,24.4,45.9,23.7
"Butler, Lawrence","671732","2024",23.9,7.8,".262","0.228","91.1","11.3",47.4,26.9,47.7,31.2,26.6,43.5,26.3
"Harris II, Michael","671739","2024",20,4.9,".264","0.154","90.5","7.5",47,25.1,55.1,40.7,22.6,49,19.5
"Bailey, Patrick","672275","2024",22.3,8.7,".234","0.105","91.3","12.1",43,23.4,48.1,37.2,23.6,41.1,24.9
"Siani, Michael","672279","2024",27.5,6.3,".228","0.057","84.4","5.1",22.6,29.5,48.9,33.5,30.7,61,15.1
"Kelenic, Jarred","672284","2024",29.6,7.1,".231","0.162","89.8","16",45.2,33.4,49.9,43.5,21.6,35.3,30
"Kirk, Alejandro","672386","2024",13.2,9.1,".253","0.106","89.4","10.8",40.9,15.7,46.6,29.9,31.5,46,19.1
"Moreno, Gabriel","672515","2024",14.8,11.7,".266","0.114","90","8.8",41,18.5,41.2,27.3,30.9,49.6,21.1
"Garcia, Maikel","672580","2024",16.5,6.7,".231","0.101","90.4","6.4",42.8,15.7,43.4,29.7,29.1,49.5,20.4
"Lopez, Otto","672640","2024",17.3,5.8,".270","0.107","88","5.4",38.9,21.9,51.4,31.3,25,54.2,20.2
"Perdomo, Geraldo","672695","2024",14.9,9.3,".273","0.101","87","16.9",25.8,12.2,40.5,36.4,28.2,44,25.1
"Pérez, Wenceel","672761","2024",21.6,7.5,".242","0.141","88.4","18",30.6,20.9,46.1,39.7,22.7,36,26
"Sosa, Lenyn","672820","2024",20.9,3.3,".254","0.105","89","12.3",41.2,19.8,52.7,30.7,28.5,40.4,22.7
"Diaz, Yainer","673237","2024",17.3,3.9,".299","0.142","90.2","8.9",47.5,24,58.8,38.3,21.2,51.2,18.7
"Robert Jr., Luis","673357","2024",33.2,6.6,".224","0.155","90.1","13.5",40.7,36.1,53.1,34.4,27.3,38.7,26.9
"Kim, Ha-Seong","673490","2024",16.4,12.3,".233","0.137","87.9","15.1",35.4,16.1,38,42.3,22.8,41.1,24.3
"Suzuki, Seiya","673548","2024",27.4,10.8,".283","0.199","91.7","16.2",49.2,24.5,39.6,32.6,22.5,33.7,34
"Westburg, Jordan","676059","2024",21.7,4.9,".264","0.217","91.1","13.1",46.1,29.3,51,38.3,22.1,41.7,26.2
"DeLuca, Jonny","676356","2024",21.3,6.6,".217","0.114","84.6","16.2",28,24,53.8,40.5,23.7,38.5,21.4
"Clement, Ernie","676391","2024",9.1,2.4,".263","0.145","85.5","16.3",24.9,14.4,57,42.6,20.4,38.8,27.2
"Burleson, Alec","676475","2024",12.8,5.9,".269","0.151","89.7","13.6",41.7,19.2,55.7,33.5,27.8,42.5,25.5
"Caballero, José","676609","2024",27.5,5.6,".227","0.120","83.7","15.9",25.2,28.9,50,49.4,14.3,42.4,21.7
"Meyers, Jake","676694","2024",22.8,6.8,".219","0.141","88.2","14.4",37,27,49.1,43.9,21.9,44.2,27.4
"McCormick, Chas","676801","2024",27,6.4,".211","0.095","86.2","15.2",32.8,31.3,53.2,35.1,22.4,44.8,30.5
"Schneider, Davis","676914","2024",31.7,10.4,".191","0.152","88.6","21.4",38,30.6,42.5,46.1,26.7,29.8,39.9
"Rocchio, Brayan","677587","2024",20.4,10,".206","0.110","84.6","9.4",22.3,24.3,47.9,37.7,21.7,47.7,25
"Rodríguez, Julio","677594","2024",25.4,6.2,".273","0.136","91.7","10.5",48.4,30.9,54.3,33.4,27.4,44.6,26.2
"Duran, Ezequiel","677649","2024",22.1,4.9,".246","0.075","87.1","8.9",35.9,24.7,56.4,29.1,30.6,47.6,24.3
"Abreu, Wilyer","677800","2024",28,8.9,".253","0.206","91.6","19.2",50.5,29.6,48.1,43.7,23.7,34.1,34.1
"Witt Jr., Bobby","677951","2024",15,8,".332","0.256","92.7","15.1",48.3,22.3,51.2,32.3,28.1,37.5,30.5
"Meadows, Parker","678009","2024",25.5,8.4,".244","0.189","87","18.5",32.3,27,45.5,36.2,21.9,33.2,31.1
"Tovar, Ezequiel","678662","2024",28.8,3.3,".269","0.200","88.8","18.9",39.8,33.5,62.3,36.4,27.2,34.5,33.6
"Rafaela, Ceddanne","678882","2024",26.4,2.6,".246","0.144","86.6","14.9",36.9,33,61.9,37.2,26.1,42.5,26.4
"Rojas, Johan","679032","2024",19,3.6,".243","0.079","85.7","4.8",27.4,22.7,48.8,35.7,22.7,59.2,17
"Torkelson, Spencer","679529","2024",27.6,8.7,".219","0.155","89","20.2",39.7,26.6,46,47.1,21,34.5,31.1
"Schuemann, Max","680474","2024",25.9,10.2,".220","0.088","89","16.6",37.4,28.5,42.5,35,27.6,37.4,31.1
"Palacios, Richie","680700","2024",21.2,14.2,".223","0.095","86.2","14",30.3,24.7,46.7,47,18.7,37.9,19.7
"Kwan, Steven","680757","2024",9.4,9.8,".292","0.133","86.3","14.9",23.7,8.2,39.1,30.4,32,37.4,28.3
"Duran, Jarren","680776","2024",21.8,7.3,".285","0.207","90.8","9.5",43.9,24.8,48.3,29.9,30.1,46.8,21
"Jeffers, Ryan","680777","2024",20.2,6.9,".226","0.206","86.9","16.2",33.8,23.6,48.5,37.2,24.9,39.1,28.9
"Gelof, Zack","680869","2024",34.4,6.9,".211","0.151","89.2","14.2",37.2,36.4,51.5,41.6,20.5,43.5,27.4
