#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
142,Connor Joe,PIT,133,472,11,63,42,3,10.60%,23.30%,0.174,0.311,0.247,0.339,0.421,0.332,0.329,106,-2.8,0.6,-1.8,1.5
143,Dansby Swanson,CHC,147,638,22,81,80,9,10.30%,24.10%,0.172,0.297,0.244,0.328,0.416,0.325,0.345,106,2.4,6.9,20.6,4.9
144,Jose Siri,TBR,101,364,25,58,56,12,5.50%,35.70%,0.272,0.269,0.222,0.267,0.494,0.319,0.298,106,2.3,4.7,8.6,2.6
145,Alec Bohm,PHI,145,611,20,74,97,4,6.90%,15.40%,0.163,0.296,0.274,0.327,0.437,0.329,0.343,106,-3.3,1,-7.2,1.5
146,Eloy Jiménez,CHW,120,489,18,50,64,0,6.10%,19.00%,0.169,0.305,0.272,0.317,0.441,0.325,0.314,105,-1.3,1.9,-13.1,0.6
147,Ty France,SEA,158,665,12,79,58,1,6.50%,17.60%,0.116,0.294,0.25,0.337,0.366,0.315,0.342,105,-4.3,-0.1,-10.3,1.2
148,Jonah Heim,TEX,131,501,18,61,95,2,8.00%,19.20%,0.179,0.289,0.258,0.317,0.438,0.324,0.324,105,-0.6,2.5,20,4
149,Lourdes Gurriel Jr.,ARI,145,592,24,65,82,5,5.60%,17.40%,0.201,0.282,0.261,0.309,0.463,0.329,0.324,105,0.1,3.6,-4.2,1.9
150,Robbie Grossman,TEX,115,420,10,56,49,1,13.60%,23.30%,0.156,0.292,0.238,0.34,0.394,0.323,0.306,104,-0.9,1.3,-11.9,0.4
151,Edward Olivares,KCR,107,385,12,47,36,11,5.70%,16.60%,0.189,0.289,0.263,0.317,0.452,0.329,0.338,104,0.4,2.4,-11.4,0.4
152,Eugenio Suárez,SEA,162,694,22,68,96,2,10.10%,30.80%,0.159,0.314,0.232,0.323,0.391,0.313,0.324,104,-2.4,1.1,10.1,3.5
153,Chris Taylor,LAD,117,384,15,51,56,16,10.70%,32.60%,0.183,0.327,0.237,0.326,0.42,0.323,0.312,104,1.5,3.5,-3.3,1.3
154,Nico Hoerner,CHC,150,688,9,98,68,43,7.10%,12.10%,0.1,0.312,0.283,0.346,0.383,0.322,0.311,104,6.8,10.3,12.8,4.6
155,Andy Ibáñez,DET,114,383,11,42,41,1,6.30%,18.00%,0.169,0.3,0.264,0.312,0.433,0.32,0.331,104,-0.6,1.2,2.6,1.7
156,Kevin Kiermaier,TOR,129,408,8,58,36,14,7.10%,21.10%,0.154,0.321,0.265,0.322,0.419,0.32,0.3,104,3.1,5,9.1,2.8
157,George Springer,TOR,154,683,21,87,72,20,8.80%,18.30%,0.147,0.291,0.258,0.327,0.405,0.32,0.332,104,-0.4,2.6,-8,1.8
158,Josh Bell,2 Tms,150,617,22,52,74,0,10.20%,21.70%,0.172,0.287,0.247,0.325,0.419,0.323,0.345,103,-4.6,-2.1,-15.1,0.4
159,Andrew Vaughn,CHW,152,615,21,67,80,0,5.90%,21.00%,0.171,0.299,0.258,0.314,0.429,0.321,0.319,103,-4.5,-2.3,-14.6,0.4
160,Joey Gallo,MIN,111,332,21,39,40,1,14.50%,42.80%,0.262,0.244,0.177,0.301,0.44,0.32,0.295,103,0.2,1.4,-4.8,0.8
161,J.D. Davis,SFG,144,546,18,61,69,1,9.50%,27.80%,0.165,0.32,0.248,0.325,0.413,0.321,0.323,103,-2.4,-0.4,3.4,2.1
162,Vinnie Pasquantino,KCR,61,260,9,24,26,0,9.60%,11.90%,0.19,0.25,0.247,0.324,0.437,0.327,0.35,103,-2.1,-1.2,-6.9,0.1
163,Cavan Biggio,TOR,111,338,9,54,40,5,11.80%,26.00%,0.135,0.304,0.235,0.34,0.37,0.318,0.314,102,-0.1,0.8,-3.5,0.9
164,J.T. Realmuto,PHI,135,540,20,70,63,16,6.50%,25.60%,0.2,0.307,0.252,0.31,0.452,0.324,0.334,102,-0.4,1,1.8,2.1
165,Gabriel Moreno,ARI,111,380,7,33,50,6,7.60%,19.70%,0.123,0.338,0.284,0.339,0.408,0.325,0.314,102,-2.6,-1.9,11.8,2.3
166,Bryson Stott,PHI,151,640,15,78,62,31,6.10%,15.60%,0.138,0.312,0.28,0.329,0.419,0.323,0.309,101,5,6.1,14.2,4.2
167,Randal Grichuk,2 Tms,118,471,16,65,44,2,6.20%,20.40%,0.191,0.309,0.267,0.321,0.459,0.333,0.323,101,-1.7,-0.7,-9.7,0.6
168,Jazz Chisholm Jr.,MIA,97,383,19,50,51,22,6.80%,30.80%,0.207,0.318,0.25,0.304,0.457,0.325,0.307,101,3.8,4.3,1.4,1.9
169,Jon Berti,MIA,133,424,7,53,33,16,6.80%,18.20%,0.111,0.349,0.294,0.344,0.405,0.325,0.324,101,2,2.4,4.5,2.1
170,Carlos Santana,2 Tms,146,619,23,78,86,6,10.50%,16.80%,0.189,0.255,0.24,0.318,0.429,0.323,0.308,100,0.6,0.9,-7.3,1.5
171,Eddie Rosario,ATL,142,516,21,64,74,3,6.60%,23.60%,0.195,0.3,0.255,0.305,0.45,0.322,0.317,100,-1.9,-1.7,-3.1,1.3
172,Ke'Bryan Hayes,PIT,124,525,15,65,61,10,5.30%,19.80%,0.182,0.315,0.271,0.309,0.453,0.324,0.321,100,-0.1,0,13.9,3.2
173,Kyle Farmer,MIN,120,369,11,49,46,2,6.20%,23.30%,0.152,0.311,0.256,0.317,0.408,0.316,0.313,100,-1.4,-1.3,3.3,1.5
174,Matt Vierling,DET,134,530,10,63,44,6,8.30%,21.10%,0.127,0.321,0.261,0.329,0.388,0.315,0.322,100,-0.2,-0.2,-0.3,1.8
175,Orlando Arcia,ATL,139,533,17,66,65,1,7.30%,19.10%,0.156,0.301,0.264,0.321,0.42,0.321,0.307,100,-2.3,-2.4,8.3,2.4
176,Leody Taveras,TEX,143,554,14,67,67,14,6.30%,21.10%,0.155,0.318,0.266,0.312,0.421,0.316,0.319,100,2.7,2.5,2.5,2.4
177,Jeff McNeil,NYM,156,648,10,75,55,10,6.00%,10.00%,0.108,0.288,0.27,0.333,0.378,0.314,0.294,100,0.7,0.4,1.9,2.4
178,Thairo Estrada,SFG,120,530,14,63,49,23,4.20%,22.60%,0.145,0.331,0.271,0.315,0.416,0.316,0.292,100,1.9,1.6,15.4,3.5
179,Garrett Hampson,MIA,98,252,3,30,23,5,9.10%,26.60%,0.104,0.379,0.276,0.349,0.38,0.323,0.291,99,1.5,1.3,-3.8,0.6
180,Steven Kwan,CLE,158,718,5,93,54,21,9.70%,10.40%,0.102,0.294,0.268,0.34,0.37,0.313,0.317,99,4.3,3.4,4.4,3.2
181,DJ LeMahieu,NYY,136,562,15,55,44,2,10.70%,22.20%,0.147,0.295,0.243,0.327,0.39,0.315,0.322,99,-4.5,-5.3,-2,1.2
